Run,Generation,BestFitness
1,0,708,0000
1,1,708,0000
1,2,708,0000
1,3,708,0000
1,4,708,0000
1,5,708,0000
1,6,708,0000
1,7,708,0000
1,8,708,0000
1,9,708,0000
1,10,708,0000
1,11,708,0000
1,12,708,0000
1,13,708,0000
1,14,708,0000
1,15,708,0000
1,16,708,0000
1,17,708,0000
1,18,708,0000
1,19,708,0000
1,20,708,0000
1,21,708,0000
1,22,708,0000
1,23,708,0000
1,24,708,0000
1,25,708,0000
1,26,708,0000
1,27,708,0000
1,28,708,0000
1,29,708,0000
1,30,708,0000
1,31,708,0000
1,32,708,0000
1,33,708,0000
1,34,708,0000
1,35,708,0000
1,36,708,0000
1,37,708,0000
1,38,708,0000
1,39,708,0000
1,40,708,0000
1,41,708,0000
1,42,708,0000
1,43,708,0000
1,44,708,0000
1,45,708,0000
1,46,708,0000
1,47,708,0000
1,48,708,0000
1,49,708,0000
1,50,708,0000
1,51,708,0000
1,52,708,0000
1,53,708,0000
1,54,708,0000
1,55,708,0000
1,56,708,0000
1,57,708,0000
1,58,708,0000
1,59,708,0000
1,60,708,0000
1,61,708,0000
1,62,708,0000
1,63,708,0000
1,64,708,0000
1,65,708,0000
1,66,708,0000
1,67,708,0000
1,68,708,0000
1,69,708,0000
1,70,708,0000
1,71,708,0000
1,72,708,0000
1,73,708,0000
1,74,708,0000
1,75,708,0000
1,76,708,0000
1,77,708,0000
1,78,708,0000
1,79,708,0000
1,80,708,0000
1,81,708,0000
1,82,708,0000
1,83,708,0000
1,84,708,0000
1,85,708,0000
1,86,708,0000
1,87,708,0000
1,88,708,0000
1,89,711,0000
1,90,711,0000
1,91,718,0000
1,92,718,0000
1,93,725,0000
1,94,725,0000
1,95,725,0000
1,96,725,0000
1,97,728,0000
1,98,728,0000
1,99,747,0000
1,100,747,0000
1,101,747,0000
1,102,747,0000
1,103,747,0000
1,104,752,0000
1,105,752,0000
1,106,752,0000
1,107,752,0000
1,108,752,0000
1,109,752,0000
1,110,752,0000
1,111,752,0000
1,112,752,0000
1,113,752,0000
1,114,758,0000
1,115,758,0000
1,116,758,0000
1,117,758,0000
1,118,758,0000
1,119,758,0000
1,120,758,0000
1,121,758,0000
1,122,758,0000
1,123,761,0000
1,124,769,0000
1,125,769,0000
1,126,769,0000
1,127,769,0000
1,128,769,0000
1,129,773,0000
1,130,775,0000
1,131,775,0000
1,132,775,0000
1,133,775,0000
1,134,791,0000
1,135,791,0000
1,136,791,0000
1,137,791,0000
1,138,794,0000
1,139,794,0000
1,140,795,0000
1,141,795,0000
1,142,799,0000
